State,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Percent,Absolute,
Alabama,145.7,148.0,149.6,141.8,121.9,134.6,131.6,125.1,122.5,124.8,121.7,115.7,-20.6%,-30.0,
Alaska,49.0,46.6,44.9,40.3,38.6,39.5,39.3,38.8,36.7,35.8,36.7,35.1,-28.4%,-13.9,
Arizona,98.3,101.5,103.4,103.8,94.8,96.6,94.6,92.8,96.5,94.4,92.1,87.5,-11.0%,-10.8,
Arkansas,61.1,62.9,64.2,65.1,62.4,66.7,68.1,67.0,69.3,69.9,60.0,62.8,2.7%,1.7,
California,390.1,398.3,403.1,387.4,373.8,367.8,353.2,358.6,360.7,357.5,365.4,363.3,-6.9%,-26.8,
Colorado,96.8,97.7,100.3,98.4,94.2,96.6,92.8,91.9,92.4,92.9,91.6,89.5,-7.5%,-7.3,
Connecticut,44.8,41.7,40.8,38.3,36.5,36.8,35.3,34.7,35.4,35.6,37.0,34.5,-23.0%,-10.3,
Delaware,17.1,16.0,16.8,15.9,12.2,11.4,12.4,13.6,13.3,12.9,13.0,13.4,-21.5%,-3.7,
District of Columbia,4.0,3.2,3.4,3.1,3.2,3.3,3.1,2.7,2.9,3.1,3.0,2.8,-30.2%,-1.2,
Florida,265.0,263.2,260.6,242.3,227.7,245.7,232.2,226.3,225.0,230.7,235.2,231.3,-12.7%,-33.7,
Georgia,187.4,184.6,187.1,174.5,164.6,174.0,158.4,138.3,136.4,141.4,138.8,137.0,-26.9%,-50.4,
Hawaii,23.3,23.5,24.3,19.6,19.1,19.3,19.7,19.2,18.7,18.6,18.8,18.5,-20.4%,-4.8,
Idaho,16.1,16.1,16.6,15.8,15.4,16.2,16.0,15.9,17.4,16.9,18.2,18.5,15.0%,2.4,
Illinois,246.0,237.5,245.1,243.7,228.3,233.1,231.8,219.4,232.6,235.4,217.8,205.2,-16.6%,-40.8,
Indiana,237.4,234.9,234.6,230.3,207.0,219.3,211.8,197.4,202.6,207.9,188.4,182.9,-23.0%,-54.5,
Iowa,80.0,81.2,86.5,90.4,85.3,89.6,86.6,80.6,82.0,82.9,76.8,73.5,-8.0%,-6.4,
